ptf,PTFS,PTFG,PTFH1,PTFH2,PTFH3,PTFH4,PTFH5,HVSC
140,129.99,129.99,115.99,130.69,135,130.01,127.9,-1.5
149.99,140,139.99,120.01,140,139.99,140,140.01,-1
155,149.99,149.99,145,159.38,154.91,149.99,154,0
170,155,159.99,152.75,169.99,169.99,150,169.99,1.5
175.09,170,160,154.99,169.99,169.99,151.98,170,2.5
179.99,175.09,160.01,154.99,169.99,170,169.99,170,3
170,179.99,158.99,150,169.99,169.99,149.99,169.99,2
170.01,170,159.99,150.01,169.99,169.99,150,170,2.5
175.02,170.01,160,154.99,169.99,169.99,150,170,2.67
170.01,175.02,160,150,169.99,169.99,150,169.99,2.5
175.07,170.01,165,154.99,169.99,170,169.99,170,1.5
180,175.07,170,159.99,169.99,170,169.99,170,1
175.06,180,164.99,150,163.99,170,169.99,170,0
169.5,175.06,155,148,154.99,169.99,150,169.99,0
160,169.5,154.99,131.98,149.23,169.99,150,159.94,-0.33
155,160,151.99,120.4,140,154.49,149.99,154,-1
160,155,159.99,154.99,169.99,169.99,150,157.01,-0.5
155,160,154.99,149.99,159.99,150,149.99,149.99,0
164.99,155,150,130.02,140.01,149.99,140,140.01,0
155,164.99,140,116,127.99,133,135,133,-1.5
150.01,155,134.74,109.99,115.67,129.99,125.32,128.99,-1.67
150,150.01,125.01,100,100.04,120,118.12,116.99,-2
150,150,123.03,100,100.04,117,116.59,115,-1
150,150,129.99,110,107.14,129.99,118.49,119.93,-3
154.99,150,140,117.99,128.76,140,125,126.63,-2.5
159.99,154.99,149.99,133.58,135.01,149.99,140,140.01,-0.5
180,159.99,155,149.99,158.74,169.99,150,159.43,0.33
220,180,170,154.99,169.99,170,169.99,170,1.5
260.04,220,175.09,154.99,169.99,170,164.99,170,3
300.01,260.04,179.99,155,169.99,179.99,169.99,170,3.5
210.49,300.01,170,154.99,164,170,150,169.99,4
227.66,210.49,170.01,155,169.99,170,150,169.99,3.5
250,227.66,175.02,155,169.99,170,150,170,3.67
250,250,170.01,155,169.99,170,150,169.99,4
250.99,250,175.07,155,169.99,175,169.99,170,3
400,250.99,180,160,169.99,180,169.99,170,3
250.1,400,175.06,152.5,150,170,164.49,170,3
204.95,250.1,169.5,148.75,149.95,170,150,169.99,3
200,204.95,160,147.85,143,169.99,150,169.99,3
185.07,200,155,136.99,135,169.99,149.99,163.35,3.5
185.09,185.07,160,154.99,160,169.99,150,164.99,4
180,185.09,155,149.99,149.96,169.99,149.99,150,3
165,180,164.99,134,139.98,154.95,144.99,140.01,3.5
154.99,165,155,122.19,126.01,135.57,139.9,130,4
150,154.99,150.01,115.99,109.99,129.99,129.99,120.01,4
149.99,150,150,101.51,78.5,118.01,116.99,110,4
149.99,149.99,150,100.01,75,117,114.91,110,4
149.99,149.99,150,110.01,100,125.24,117,114.94,4
150,149.99,154.99,125,119.28,135.01,135,129.99,4
159.99,150,159.99,134,134,139.99,144.99,130,4.5
171.99,159.99,180,150,143.33,169.99,150,153.99,4.67
220,171.99,220,154.99,158.75,170,169.99,163.75,5
260.01,220,260.04,159.99,150,170,169.99,169.99,5
265.04,260.01,300.01,160,154.99,170,169.99,169.99,6
201.46,265.04,210.49,154.99,139.66,169.99,149.99,150,6
250.01,201.46,227.66,159.99,159.99,170,154,160,6
250.01,250.01,250,159.99,155,170,169.99,169.99,6.67
201.62,250.01,250,155,149.01,170,164.99,169.99,7
250,201.62,250.99,159.99,165,170,169.99,170,7
275.01,250,400,160,169.99,170,169.99,170,7
